Data,HurricaneName,Label,HurricaneID
"[[0.0, 97.4, 13.6], [6.0, 97.0, 14.7], [12.0, 96.6, 16.0], [18.0, 96.1, 17.3], [24.0, 95.7, 18.6], [30.0, 95.4, 19.3], [36.0, 95.2, 20.0], [42.0, 94.9, 20.8], [48.0, 94.8, 21.3], [54.0, 94.7, 21.6], [60.0, 94.6, 22.0], [66.0, 94.5, 22.5], [72.0, 94.3, 23.2], [78.0, 93.9, 23.7], [84.0, 93.5, 24.1], [90.0, 93.0, 24.1], [96.0, 92.8, 24.1], [102.0, 92.6, 24.1], [108.0, 91.7, 23.9], [114.0, 91.0, 23.8], [120.0, 90.2, 23.8], [126.0, 89.7, 24.0], [132.0, 88.4, 24.9], [138.0, 87.2, 25.6], [144.0, 86.0, 25.6], [150.0, 85.0, 25.5], [156.0, 84.8, 25.6], [162.0, 84.8, 25.8], [168.0, 85.2, 26.0], [174.0, 85.6, 26.2], [180.0, 86.3, 26.3], [186.0, 86.8, 26.2], [192.0, 87.1, 25.9], [198.0, 87.0, 25.4], [204.0, 86.9, 25.2]]",s198010,c2,10
"[[0.0, 99.3, 10.6], [6.0, 98.7, 10.7], [12.0, 97.8, 11.0], [18.0, 97.0, 11.3], [24.0, 96.2, 11.8], [30.0, 95.7, 12.1], [36.0, 95.1, 12.5], [42.0, 94.6, 12.9], [48.0, 94.2, 13.3], [54.0, 93.7, 13.8], [60.0, 93.2, 14.5], [66.0, 92.7, 15.4], [72.0, 92.2, 16.3], [78.0, 91.9, 17.3], [84.0, 91.4, 18.2], [90.0, 90.7, 18.7], [96.0, 89.5, 19.2], [102.0, 88.4, 19.6], [108.0, 87.5, 20.0], [114.0, 86.8, 20.5], [120.0, 86.1, 20.7], [126.0, 85.8, 20.9], [132.0, 85.0, 21.1], [138.0, 84.1, 21.2], [144.0, 83.0, 21.3], [150.0, 81.7, 21.1], [156.0, 79.8, 20.9], [162.0, 77.5, 20.8], [168.0, 75.3, 20.8]]",s199307,c2,11
"[[0.0, 116.0, 36.5], [6.0, 117.5, 37.0], [12.0, 119.0, 37.5], [18.0, 120.5, 37.5], [24.0, 122.0, 37.5], [30.0, 123.2, 37.3], [36.0, 123.8, 37.2], [42.0, 124.5, 37.2], [48.0, 125.2, 37.2], [54.0, 125.7, 37.3], [60.0, 126.2, 37.3], [66.0, 126.5, 37.3], [72.0, 126.7, 37.3], [78.0, 126.9, 37.2], [84.0, 127.1, 37.4], [90.0, 127.3, 37.7], [96.0, 127.6, 38.0], [102.0, 128.0, 38.3], [108.0, 129.0, 38.5], [114.0, 131.0, 38.5], [120.0, 133.4, 38.8], [126.0, 135.4, 40.0], [132.0, 137.4, 40.5], [138.0, 139.3, 40.9], [144.0, 140.1, 41.1], [150.0, 143.0, 41.2], [156.0, 144.3, 41.0], [162.0, 145.4, 41.2], [168.0, 146.6, 41.6], [174.0, 147.5, 41.7], [180.0, 147.8, 41.6], [186.0, 147.9, 41.5], [192.0, 147.8, 41.2], [198.0, 147.4, 40.9], [204.0, 146.0, 40.6], [210.0, 144.6, 40.7], [216.0, 143.2, 41.1], [222.0, 142.2, 41.9], [228.0, 142.0, 42.9], [234.0, 141.9, 44.0], [240.0, 142.1, 45.1], [246.0, 142.1, 46.2]]",s197203,c2,12
"[[0.0, 97.5, 18.5], [6.0, 97.1, 19.5], [12.0, 96.8, 20.3], [18.0, 96.2, 21.1], [24.0, 95.7, 21.9], [30.0, 95.0, 22.7], [36.0, 94.2, 23.3], [42.0, 93.5, 23.9], [48.0, 92.8, 24.3], [54.0, 91.7, 24.9], [60.0, 90.4, 25.3], [66.0, 89.2, 25.8], [72.0, 88.0, 26.2], [78.0, 86.5, 26.6], [84.0, 85.1, 27.0], [90.0, 83.7, 27.5], [96.0, 82.2, 28.1], [102.0, 80.7, 28.6], [108.0, 79.2, 29.1], [114.0, 77.9, 29.7], [120.0, 76.7, 30.3], [126.0, 75.2, 30.9], [132.0, 74.2, 31.5], [138.0, 73.0, 32.3]]",s197003,c3,13
"[[0.0, 148.9, 19.0], [6.0, 146.9, 19.2], [12.0, 144.7, 19.4], [18.0, 142.9, 19.8], [24.0, 141.3, 20.4], [30.0, 139.8, 21.0], [36.0, 138.3, 21.6], [42.0, 136.8, 22.2], [48.0, 135.2, 22.9], [54.0, 133.6, 23.7], [60.0, 131.9, 24.6], [66.0, 130.2, 25.5], [72.0, 128.7, 26.5], [78.0, 127.6, 27.4], [84.0, 126.7, 28.2], [90.0, 126.0, 29.0], [96.0, 125.4, 29.9], [102.0, 124.9, 30.7], [108.0, 124.7, 31.6], [114.0, 124.6, 32.4], [120.0, 124.6, 33.1], [126.0, 124.8, 33.9], [132.0, 125.3, 35.3], [138.0, 126.1, 36.8], [144.0, 127.3, 38.0], [150.0, 128.8, 39.3], [156.0, 130.3, 40.7], [162.0, 132.8, 42.4], [168.0, 136.3, 44.5], [174.0, 139.9, 46.6]]",s195506,c2,14
"[[0.0, 108.0, 21.0], [6.0, 108.1, 21.8], [12.0, 108.2, 22.5], [18.0, 108.3, 23.3], [24.0, 108.4, 24.0], [30.0, 108.5, 24.8], [36.0, 108.6, 25.5], [42.0, 108.7, 26.3], [48.0, 108.8, 27.0], [54.0, 108.8, 27.8], [60.0, 108.8, 28.5], [66.0, 108.7, 29.5], [72.0, 108.2, 30.8], [78.0, 107.4, 32.2], [84.0, 106.5, 33.4], [90.0, 105.7, 33.6], [96.0, 105.0, 33.5], [102.0, 104.5, 33.8], [108.0, 104.5, 34.0], [114.0, 105.0, 34.2], [120.0, 105.5, 34.0], [126.0, 105.8, 33.6], [132.0, 106.0, 33.0], [138.0, 105.6, 32.2], [144.0, 105.2, 31.5], [150.0, 104.7, 30.8], [156.0, 104.0, 30.3], [162.0, 103.1, 29.6], [168.0, 102.3, 28.9], [174.0, 101.8, 28.8], [180.0, 101.5, 28.8], [186.0, 101.0, 29.0], [192.0, 100.4, 29.4], [198.0, 100.3, 29.8], [204.0, 100.4, 30.3], [210.0, 100.3, 31.1], [216.0, 100.4, 31.8], [222.0, 101.0, 32.1], [228.0, 101.9, 32.4], [234.0, 102.7, 33.2], [240.0, 103.1, 33.2], [246.0, 103.5, 32.9], [252.0, 104.0, 33.0], [258.0, 104.1, 32.9], [264.0, 104.7, 32.9], [270.0, 105.4, 32.7], [276.0, 106.6, 32.6], [282.0, 107.1, 33.2], [288.0, 107.7, 33.9], [294.0, 108.5, 35.1], [300.0, 109.7, 36.3], [306.0, 111.2, 37.8], [312.0, 112.8, 40.8], [318.0, 114.0, 44.0], [324.0, 116.0, 47.0], [330.0, 117.0, 49.0]]",s196308,c2,15
"[[0.0, 105.7, 25.6], [6.0, 105.1, 25.7], [12.0, 104.6, 25.9], [18.0, 104.2, 26.4], [24.0, 103.8, 27.1], [30.0, 103.5, 27.8], [36.0, 103.1, 28.4], [42.0, 102.9, 29.0], [48.0, 103.0, 29.7], [54.0, 103.1, 30.5], [60.0, 103.4, 31.5], [66.0, 103.9, 33.0], [72.0, 104.7, 34.6], [78.0, 105.5, 36.5], [84.0, 107.0, 38.9], [90.0, 108.6, 41.4], [96.0, 110.4, 43.8], [102.0, 112.4, 45.6], [108.0, 114.5, 47.0], [114.0, 118.1, 48.4], [120.0, 121.7, 49.8], [126.0, 125.1, 50.9], [132.0, 128.6, 51.6], [138.0, 132.7, 51.9], [144.0, 137.2, 51.9], [150.0, 141.7, 51.5], [156.0, 145.9, 50.7], [162.0, 149.7, 49.3], [168.0, 153.1, 47.7], [174.0, 156.1, 46.3], [180.0, 158.6, 45.3], [186.0, 160.1, 44.2], [192.0, 160.6, 43.1], [198.0, 160.9, 42.4], [204.0, 161.4, 42.2], [210.0, 161.9, 42.1], [216.0, 162.1, 41.9], [222.0, 162.2, 41.7], [228.0, 162.4, 41.3], [234.0, 162.7, 40.9], [240.0, 163.2, 40.5], [246.0, 164.0, 40.2], [252.0, 164.8, 40.0], [258.0, 165.6, 39.9], [264.0, 166.2, 39.9], [270.0, 166.9, 40.0], [276.0, 167.6, 40.0], [282.0, 168.2, 40.0], [288.0, 168.7, 40.0], [294.0, 169.1, 40.0], [300.0, 169.5, 40.0], [306.0, 169.9, 40.0], [312.0, 170.1, 40.0]]",s199102,c3,16
"[[0.0, 137.0, 17.0], [6.0, 136.0, 17.1], [12.0, 134.9, 17.2], [18.0, 133.9, 17.3], [24.0, 133.1, 17.5], [30.0, 132.2, 17.7], [36.0, 131.0, 17.9], [42.0, 129.8, 18.0], [48.0, 128.6, 18.2], [54.0, 127.4, 18.5], [60.0, 125.7, 18.9], [66.0, 124.1, 19.3], [72.0, 123.0, 19.8], [78.0, 122.0, 20.3], [84.0, 121.1, 21.1], [90.0, 120.2, 22.0], [96.0, 119.6, 22.7], [102.0, 119.2, 23.3], [108.0, 118.9, 23.6], [114.0, 118.9, 24.0], [120.0, 119.0, 24.7], [126.0, 119.2, 25.3], [132.0, 119.3, 25.9], [138.0, 119.5, 26.4], [144.0, 119.5, 26.9], [150.0, 119.0, 27.4], [156.0, 117.8, 27.4], [162.0, 116.6, 27.2], [168.0, 115.6, 27.3], [174.0, 114.6, 27.4], [180.0, 113.3, 27.6], [186.0, 111.9, 28.0], [192.0, 110.6, 28.5], [198.0, 109.4, 29.1], [204.0, 108.0, 29.6], [210.0, 106.6, 30.2], [216.0, 105.7, 30.7], [222.0, 105.0, 31.2], [228.0, 104.0, 32.0], [234.0, 103.1, 32.8], [240.0, 102.5, 33.5], [246.0, 102.0, 34.3], [252.0, 101.5, 35.4], [258.0, 101.0, 36.6], [264.0, 101.0, 37.7], [270.0, 101.9, 38.8], [276.0, 103.2, 39.6], [282.0, 104.7, 40.2], [288.0, 106.3, 40.7], [294.0, 107.9, 41.0], [300.0, 109.6, 41.3], [306.0, 111.4, 41.5], [312.0, 113.4, 41.8], [318.0, 116.0, 42.1], [324.0, 119.3, 42.6], [330.0, 123.0, 43.3], [336.0, 126.8, 44.2], [342.0, 130.7, 45.0], [348.0, 134.1, 46.2]]",s195503,c3,17
"[[0.0, 115.4, 28.0], [6.0, 113.5, 30.0], [12.0, 112.9, 30.8], [18.0, 111.5, 31.4], [24.0, 109.2, 31.9], [30.0, 106.8, 31.8], [36.0, 104.7, 31.0], [42.0, 102.9, 30.1], [48.0, 101.8, 29.4], [54.0, 101.4, 28.7], [60.0, 101.2, 28.0], [66.0, 101.3, 27.3], [72.0, 101.8, 26.9], [78.0, 102.3, 27.0], [84.0, 102.7, 27.2], [90.0, 103.0, 27.4], [96.0, 103.3, 27.7], [102.0, 103.7, 28.1], [108.0, 104.0, 28.8], [114.0, 104.2, 29.7], [120.0, 104.4, 30.6], [126.0, 104.6, 31.5], [132.0, 104.7, 32.4], [138.0, 104.8, 33.2], [144.0, 105.3, 34.4], [150.0, 105.8, 35.5], [156.0, 106.4, 35.9], [162.0, 107.0, 36.2], [168.0, 107.8, 36.5], [174.0, 108.8, 36.6], [180.0, 109.8, 36.6], [186.0, 111.0, 36.5], [192.0, 113.0, 36.4], [198.0, 115.0, 36.5], [204.0, 116.4, 37.1], [210.0, 117.7, 37.9], [216.0, 118.8, 38.7], [222.0, 120.0, 39.5], [228.0, 120.8, 40.1]]",s195101,c3,18
"[[0.0, 126.2, 20.2], [6.0, 125.5, 20.3], [12.0, 124.7, 20.6], [18.0, 123.7, 20.9], [24.0, 122.9, 21.4], [30.0, 122.4, 21.8], [36.0, 122.0, 22.3], [42.0, 121.8, 22.8], [48.0, 121.8, 23.4], [54.0, 121.9, 24.0], [60.0, 122.0, 24.7], [66.0, 122.1, 25.6], [72.0, 122.3, 26.5], [78.0, 122.6, 27.3], [84.0, 123.2, 28.2], [90.0, 123.8, 29.1], [96.0, 124.6, 29.8], [102.0, 125.4, 30.3], [108.0, 126.2, 30.8], [114.0, 126.5, 31.1], [120.0, 126.5, 31.1], [126.0, 126.5, 31.1], [132.0, 126.4, 31.2], [138.0, 126.2, 31.3], [144.0, 126.1, 31.5], [150.0, 126.2, 31.9], [156.0, 126.3, 32.4], [162.0, 126.7, 33.3], [168.0, 127.1, 34.1], [174.0, 127.9, 35.0], [180.0, 129.4, 36.1], [186.0, 131.3, 36.9], [192.0, 133.7, 37.5], [198.0, 136.7, 38.0], [204.0, 139.8, 38.1], [210.0, 143.0, 38.0], [216.0, 146.5, 37.8], [222.0, 150.1, 37.7], [228.0, 153.9, 37.6], [234.0, 157.4, 37.8], [240.0, 161.5, 38.5], [246.0, 166.0, 40.1], [252.0, 169.6, 43.8], [258.0, 171.0, 48.5], [264.0, 170.5, 52.5], [270.0, 169.5, 54.5], [276.0, 166.0, 57.0], [282.0, 161.5, 56.5], [288.0, 160.5, 56.0], [294.0, 160.0, 54.5], [300.0, 160.0, 52.5], [306.0, 162.3, 50.7], [312.0, 165.5, 49.0], [318.0, 170.0, 48.0], [324.0, 171.5, 48.5], [330.0, 172.0, 49.0], [336.0, 172.5, 50.5]]",s200608,c3,19
"[[0.0, 160.0, 13.0], [6.0, 156.5, 11.8], [12.0, 155.2, 11.6], [18.0, 154.0, 11.5], [24.0, 152.5, 11.5], [30.0, 151.0, 11.8], [36.0, 149.5, 12.4], [42.0, 148.0, 13.0], [48.0, 146.7, 13.7], [54.0, 145.4, 14.4], [60.0, 143.8, 15.2], [66.0, 142.2, 16.0], [72.0, 141.0, 16.5], [78.0, 139.9, 17.1], [84.0, 138.6, 17.6], [90.0, 137.0, 18.2], [96.0, 134.5, 19.2], [102.0, 131.8, 20.3], [108.0, 130.5, 21.0], [114.0, 129.3, 21.7], [120.0, 126.9, 23.0], [126.0, 124.8, 24.4], [132.0, 123.6, 25.2], [138.0, 122.5, 26.4], [144.0, 121.2, 29.2], [150.0, 120.0, 32.4], [156.0, 120.2, 35.3], [162.0, 122.0, 38.0], [168.0, 125.4, 40.0], [174.0, 129.5, 42.0], [180.0, 136.1, 44.5], [186.0, 143.0, 47.0], [192.0, 150.1, 49.6], [198.0, 157.2, 52.4], [204.0, 158.9, 55.5], [210.0, 156.8, 59.0]]",s195106,c3,20
"[[0.0, 145.7, 13.4], [6.0, 143.9, 13.8], [12.0, 142.1, 14.2], [18.0, 140.2, 14.8], [24.0, 138.4, 15.3], [30.0, 136.7, 16.2], [36.0, 134.7, 16.9], [42.0, 132.7, 17.6], [48.0, 130.9, 18.4], [54.0, 128.9, 19.1], [60.0, 127.2, 19.7], [66.0, 125.1, 20.1], [72.0, 123.3, 20.6], [78.0, 121.5, 21.2], [84.0, 119.9, 21.8], [90.0, 118.3, 22.4], [96.0, 116.8, 22.7], [102.0, 115.6, 23.0], [108.0, 114.3, 23.4], [114.0, 113.1, 23.9], [120.0, 111.8, 24.3], [126.0, 110.6, 24.8], [132.0, 109.5, 25.4], [138.0, 108.6, 25.9], [144.0, 107.8, 26.4], [150.0, 106.9, 26.9], [156.0, 106.1, 27.5], [162.0, 105.9, 27.9], [168.0, 105.7, 28.4], [174.0, 105.9, 29.2], [180.0, 106.3, 30.0], [186.0, 106.7, 30.9], [192.0, 107.3, 31.7], [198.0, 108.0, 32.2], [204.0, 109.3, 32.9], [210.0, 110.9, 33.7], [216.0, 112.4, 34.6], [222.0, 114.6, 36.0], [228.0, 116.9, 37.9], [234.0, 119.9, 39.9], [240.0, 122.5, 42.1], [246.0, 125.2, 43.4], [252.0, 128.1, 44.6], [258.0, 131.5, 44.8], [264.0, 136.0, 44.9], [270.0, 139.5, 45.0], [276.0, 143.0, 45.3], [282.0, 147.0, 45.9], [288.0, 152.0, 46.5], [294.0, 155.0, 47.0], [300.0, 158.0, 48.0], [306.0, 161.0, 50.0], [312.0, 162.0, 51.5], [318.0, 162.9, 52.8], [324.0, 163.3, 53.3], [330.0, 163.8, 53.8], [336.0, 164.0, 54.5], [342.0, 165.0, 55.0], [348.0, 166.0, 55.8], [354.0, 166.9, 56.4], [360.0, 168.0, 57.0]]",s199804,c2,21
